segmentid,startdate,enddate,
1755602,2019-03-30,2019-10-31,
14252362,2019-03-30,2019-10-31,
6691028,2019-03-30,2019-10-31,
11656753,2019-03-30,2019-10-31,
1823881,2019-03-30,2019-10-31,
20124979,2019-03-30,2019-10-31,
1182146,2019-03-30,2019-10-31,
6690987,2019-03-30,2019-10-31,
18771196,2019-03-30,2019-10-31,
6777348,2019-03-30,2019-10-31,
9532656,2019-03-30,2019-10-31,
19955055,2019-03-30,2019-10-31,
4713515,2019-03-30,2019-10-31,
7128689,2019-03-30,2019-10-31,
8195505,2019-03-30,2019-10-31,
7762923,2019-03-30,2019-10-31,
13755003,2019-03-30,2019-10-31,
6691287,2019-03-30,2019-10-31,
6691272,2019-03-30,2019-10-31,
3653109,2019-03-30,2019-10-31,
