segmentid,startdate,enddate,
6691028,2016-01-01,2016-12-31,
1764048,2016-01-01,2016-12-31,
11656753,2016-01-01,2016-12-31,
676432,2016-01-01,2016-12-31,
1823881,2016-01-01,2016-12-31,
7349822,2016-01-01,2016-12-31,
1748685,2016-01-01,2016-12-31,
6777348,2016-01-01,2016-12-31,
6690966,2016-01-01,2016-12-31,
8394226,2016-01-01,2016-12-31,
2543157,2016-01-01,2016-12-31,
7744658,2016-01-01,2016-12-31,
1182146,2016-01-01,2016-12-31,
7054221,2016-01-01,2016-12-31,
6690987,2016-01-01,2016-12-31,
3253003,2016-01-01,2016-12-31,
701806,2016-01-01,2016-12-31,
16343511,2016-01-01,2016-12-31,
6688083,2016-01-01,2016-12-31,
6690931,2016-01-01,2016-12-31,
789998,2017-04-01,2017-10-31,
1092755,2017-04-01,2017-10-31,
4431439,2017-04-01,2017-10-31,
1764048,2017-04-01,2017-10-31,
915185,2017-04-01,2017-10-31,
2987897,2017-04-01,2017-10-31,
934504,2017-04-01,2017-10-31,
1273659,2017-04-01,2017-10-31,
701806,2017-04-01,2017-10-31,
2341236,2017-04-01,2017-10-31,
14214114,2017-04-01,2017-10-31,
646914,2017-04-01,2017-10-31,
1108413,2017-04-01,2017-10-31,
2543157,2017-04-01,2017-10-31,
6690966,2017-04-01,2017-10-31,
878156,2017-04-01,2017-10-31,
816007,2017-04-01,2017-10-31,
16252105,2017-04-01,2017-10-31,
6696481,2017-04-01,2017-10-31,
6690931,2017-04-01,2017-10-31,
1763275,2018-03-30,2018-10-31,
676432,2018-03-30,2018-10-31,
4189235,2018-03-30,2018-10-31,
1362684,2018-03-30,2018-10-31,
8064953,2018-03-30,2018-10-31,
7349822,2018-03-30,2018-10-31,
1021558,2018-03-30,2018-10-31,
701801,2018-03-30,2018-10-31,
7078897,2018-03-30,2018-10-31,
6688008,2018-03-30,2018-10-31,
854326,2018-03-30,2018-10-31,
4969828,2018-03-30,2018-10-31,
17096764,2018-03-30,2018-10-31,
3477884,2018-03-30,2018-10-31,
3794602,2018-03-30,2018-10-31,
16125654,2018-03-30,2018-10-31,
874830,2018-03-30,2018-10-31,
6690955,2018-03-30,2018-10-31,
5506768,2018-03-30,2018-10-31,
674658,2018-03-30,2018-10-31,
1755602,2019-03-30,2019-10-31,
14252362,2019-03-30,2019-10-31,
6691028,2019-03-30,2019-10-31,
11656753,2019-03-30,2019-10-31,
1823881,2019-03-30,2019-10-31,
20124979,2019-03-30,2019-10-31,
1182146,2019-03-30,2019-10-31,
6690987,2019-03-30,2019-10-31,
18771196,2019-03-30,2019-10-31,
6777348,2019-03-30,2019-10-31,
9532656,2019-03-30,2019-10-31,
19955055,2019-03-30,2019-10-31,
4713515,2019-03-30,2019-10-31,
7128689,2019-03-30,2019-10-31,
8195505,2019-03-30,2019-10-31,
7762923,2019-03-30,2019-10-31,
13755003,2019-03-30,2019-10-31,
6691287,2019-03-30,2019-10-31,
6691272,2019-03-30,2019-10-31,
3653109,2019-03-30,2019-10-31,
